genome_id,BioProject,assembly,assembly_level,assembly_type,biosample,date,genbank,genome_representation,genus,organism,refseq,refseq_category,refseq_genbank_identity,release_type,species,strain,submitter,tax_id
GCF_000156435.1,PRJNA32145,ASM15643v1,Scaffold,na,SAMN02595233,2009-01-27,GCA_000156435.1,full,Streptomyces,Streptomyces viridosporus ATCC 14672 (high GC Gram+),GCF_000156435.1,,yes,major,viridosporus,ATCC 14672,Broad Institute,566461
GCF_000156455.1,PRJNA32147,ASM15645v1,Scaffold,na,SAMN02595234,2009-01-27,GCA_000156455.1,full,Streptomyces,Streptomyces filamentosus NRRL 15998 (high GC Gram+),GCF_000156455.1,,yes,major,filamentosus,NRRL 15998,Broad Institute,457431
GCF_000156475.1,PRJNA32149,ASM15647v1,Scaffold,na,SAMN02595235,2009-01-27,GCA_000156475.1,full,Streptomyces,Streptomyces albidoflavus (high GC Gram+),GCF_000156475.1,,yes,major,albidoflavus,J1074,Broad Institute,1886
GCF_000156695.2,PRJNA32281,ASM15669v2,Scaffold,na,SAMN02595236,2014-02-21,GCA_000156695.2,full,Streptomyces,Streptomyces filamentosus NRRL 11379 (high GC Gram+),GCF_000156695.2,,yes,major,filamentosus,NRRL 11379,Broad Institute,457430
GCF_000158855.1,PRJNA33597,ASM15885v1,Scaffold,na,SAMN02595296,2009-03-02,GCA_000158855.1,full,Streptomyces,Streptomyces sp. SPB78 (high GC Gram+),GCF_000158855.1,,yes,major,sp.,SPB78,Broad Institute,591157
GCF_000158875.1,PRJNA33599,ASM15887v1,Scaffold,na,SAMN02595297,2009-03-02,GCA_000158875.1,full,Streptomyces,Streptomyces sp. AA4 (high G+C Gram-positive bacteria),GCF_000158875.1,,yes,major,sp.,AA4,Broad Institute,591158
GCF_000158895.1,PRJNA33601,ASM15889v1,Scaffold,na,SAMN02595298,2009-03-02,GCA_000158895.1,full,Streptomyces,Streptomyces sp. C (high GC Gram+),GCF_000158895.1,,yes,major,sp.,C,Broad Institute,253839
GCF_000158915.1,PRJNA33605,ASM15891v1,Scaffold,na,SAMN02595299,2009-03-02,GCA_000158915.1,full,Streptomyces,Streptomyces himastatinicus ATCC 53653 (high GC Gram+),GCF_000158915.1,Representative Genome,yes,major,himastatinicus,ATCC 53653,Broad Institute,457427
GCF_000158935.1,PRJNA33603,ASM15893v1,Scaffold,na,SAMN02595300,2009-03-02,GCA_000158935.1,full,Streptomyces,Streptomyces lividans TK24 (high GC Gram+),GCF_000158935.1,,yes,major,lividans,TK24,Broad Institute,457428
GCF_000158955.1,PRJNA33607,ASM15895v1,Scaffold,na,SAMN02595301,2009-03-02,GCA_000158955.1,full,Streptomyces,Streptomyces viridochromogenes DSM 40736 (high GC Gram+),GCF_000158955.1,Representative Genome,yes,major,viridochromogenes,DSM 40736,Broad Institute,591159
GCF_000158975.1,PRJNA33609,ASM15897v1,Scaffold,na,SAMN02595302,2009-03-02,GCA_000158975.1,full,Streptomyces,Streptomyces griseoflavus Tu4000 (high GC Gram+),GCF_000158975.1,,yes,major,griseoflavus,Tu4000,Broad Institute,467200
GCF_000162775.1,PRJNA38051,ASM16277v1,Scaffold,na,SAMN02595349,2010-04-01,GCA_000162775.1,full,Streptomyces,Streptomyces sp. e14 (high GC Gram+),GCF_000162775.1,,yes,major,sp.,e14,Broad Institute,645465
GCF_000163875.1,PRJNA42475,Strep_clav_ATCC27064,Chromosome,na,SAMN02471788,2010-04-07,GCA_000163875.1,full,Streptomyces,Streptomyces clavuligerus (high GC Gram+),GCF_000163875.1,,yes,major,clavuligerus,ATCC 27064,University of Groningen,1901
GCF_000177175.2,PRJNA38279,ASM17717v2,Scaffold,na,SAMN00713595,2011-03-23,GCA_000177175.2,full,Streptomyces,Streptomyces sp. ACT-1 (high GC Gram+),GCF_000177175.2,,yes,major,sp.,XylebKG-1,US DOE Joint Genome Institute (JGI-PGF),1609288
GCF_000177195.2,PRJNA38225,ASM17719v2,Complete Genome,na,SAMN02232054,2011-08-26,GCA_000177195.2,full,Streptomyces,Streptomyces sp. SirexAA-E (high GC Gram+),GCF_000177195.2,,yes,major,sp.,SirexAA-E,US DOE Joint Genome Institute (JGI-PGF),862751
GCF_000179195.1,PRJNA49357,ASM17919v1,Contig,na,SAMN02441809,2010-06-23,GCA_000179195.1,full,Streptomyces,Streptomyces sp. SA3_actG (high GC Gram+),GCF_000179195.1,,yes,major,sp.,SA3_actG,US DOE Joint Genome Institute (JGI-PGF),683219
GCF_000179215.1,PRJNA49359,ASM17921v1,Contig,na,SAMN02441794,2010-06-23,GCA_000179215.1,full,Streptomyces,Streptomyces sp. SA3_actF (high GC Gram+),GCF_000179215.1,,yes,major,sp.,SA3_actF,US DOE Joint Genome Institute (JGI-PGF),682181
GCF_000204605.1,PRJNA63573,ASM20460v1,Contig,na,SAMN02470039,2011-04-19,GCA_000204605.2,full,Streptomyces,Streptomyces griseoaurantiacus M045 (high GC Gram+),GCF_000204605.1,,yes,major,griseoaurantiacus,M045,"Institute of Oceanology, Chinese Academy of Sciences",996637
GCF_000213055.1,PRJNA63579,ASM21305v1,Chromosome,na,SAMN02470040,2011-05-12,GCA_000213055.1,full,Streptomyces,Streptomyces sp. Tu6071 (high GC Gram+),GCF_000213055.1,,yes,major,sp.,Tu6071,"Pharmaceutical Bioinformatic, University of Freiburg",355249
GCF_000220705.2,PRJNA67543,ASM22070v2,Complete Genome,na,SAMN02469701,2017-09-12,GCA_000220705.2,full,Streptomyces,Streptomyces xinghaiensis S187 (high GC Gram+),GCF_000220705.2,Representative Genome,yes,major,xinghaiensis,S187,"School of Life Science and Biotechnology, Dalian University of Technology",1038929
GCF_000225525.1,PRJNA71331,ASM22552v1,Contig,na,SAMN02471576,2011-09-07,GCA_000225525.2,full,Streptomyces,Streptomyces zinciresistens K42 (high GC Gram+),GCF_000225525.1,Representative Genome,yes,major,zinciresistens,K42,"College of Life Sciences, Northwest A & F University; Soil, Water and Environmental Science, University of Arizona",700597
GCF_000226455.1,PRJNA72673,ASM22645v1,Scaffold,na,SAMN02471828,2011-09-30,GCA_000226455.1,full,Streptomyces,Streptomyces chartreusis NRRL 12338 (high GC Gram+),GCF_000226455.1,,yes,major,chartreusis,NRRL 12338,"US Dept of Agriculture, NCAUR-USDA",1079986
GCF_000237305.1,PRJNA65103,ASM23730v1,Complete Genome,na,SAMEA3138404,2011-06-24,GCA_000237305.1,full,Streptomyces,Streptomyces cattleya NRRL 8057 = DSM 46488 (high GC Gram+),GCF_000237305.1,Representative Genome,yes,major,cattleya,NRRL 8057,CEA/Genoscope,1003195
GCF_000239075.1,PRJNA74679,ASM23907v2,Contig,na,SAMN02472142,2011-12-20,GCA_000239075.2,full,Streptomyces,Streptomyces sp. W007 (high GC Gram+),GCF_000239075.1,,yes,major,sp.,W007,"Yantai Institute of Coastal Zone Research,Chinese Academy of Sciences",1055352
GCF_000240165.1,PRJNA78941,ASM24016v1,Complete Genome,na,SAMN02603879,2011-12-27,GCA_000240165.1,full,Streptomyces,Streptomyces cattleya NRRL 8057 = DSM 46488 (high GC Gram+),GCF_000240165.1,,yes,major,cattleya,DSM 46488,"State Key Laboratory of Microbial Metabolism, Shanghai Jiaotong University",1003195
GCF_000242715.1,PRJNA77031,ASM24271v2,Contig,na,SAMN02471769,2012-01-13,GCA_000242715.2,full,Streptomyces,Streptomyces acidiscabies 84-104 (high GC Gram+),GCF_000242715.1,,yes,major,acidiscabies,84-104,University of Florida,1116232
GCF_000245355.1,PRJNA81087,ASM24535v1,Complete Genome,na,SAMN02603880,2012-01-27,GCA_000245355.1,full,Streptomyces,Streptomyces hygroscopicus subsp. jinggangensis 5008 (high GC Gram+),GCF_000245355.1,,yes,major,hygroscopicus,5008,"State Key Laboratory of Microbial Metabolism, Shanghai Jiaotong University",1133850
GCF_000253235.1,PRJNA62209,ASM25323v1,Chromosome,na,SAMEA3138410,2011-04-13,GCA_000253235.1,full,Streptomyces,Streptomyces venezuelae ATCC 10712 (high GC Gram+),GCF_000253235.1,,yes,major,venezuelae,ATCC 10712,John Innes Centre,953739
GCF_000258595.1,PRJNA81125,Ssomaliensis1,Contig,na,SAMN02471954,2012-04-12,GCA_000258595.1,full,Streptomyces,Streptomyces somaliensis DSM 40738 (high G+C Gram-positive bacteria),GCF_000258595.1,,yes,major,somaliensis,DSM 40738,"Strathclyde Institute of Pharmacy and Biomedical Sciences, University of Strathclyde",1134445
GCF_000259895.1,PRJNA71265,ASM25989v1,Contig,na,SAMN02469879,2011-12-05,GCA_000259895.1,full,Streptomyces,Streptomyces sp. TOR3209 (high GC Gram+),GCF_000259895.1,,yes,major,sp.,TOR3209,Institute of Genetics and Physiology?Hebei Academy of Agriculture and Forestry Sciences,1073567
GCF_000261345.2,PRJNA158251,ASM26134v2,Complete Genome,na,SAMN02469977,2016-01-04,GCA_000261345.2,full,Streptomyces,Streptomyces globisporus C-1027 (high GC Gram+),GCF_000261345.2,,yes,major,globisporus,C-1027,"Key Laboratory of Biotechnology of Antibiotics of Ministry of Health, Institute of Medicinal Biotechnology, Chinese Academy of Medical Sciences and Peking Union Medical College, Beijing, China",1172567
GCF_000262345.1,PRJNA91113,"Streptomyces sulphureus L180, version 1.0",Contig,na,SAMN02469700,2012-05-11,GCA_000262345.1,full,Streptomyces,Streptomyces xiaopingdaonensis (high GC Gram+),GCF_000262345.1,Representative Genome,yes,major,xiaopingdaonensis,DUT 180,Dalian University of Technology,1565415
GCF_000269985.1,PRJDA19951,ASM26998v1,Complete Genome,na,SAMD00060928,2010-11-11,GCA_000269985.1,full,Kitasatospora,Kitasatospora setae KM-6054 (high GC Gram+),GCF_000269985.1,Representative Genome,yes,major,setae,KM-6054,NITE,452652
GCF_000280865.2,PRJNA88535,ASM28086v2,Complete Genome,na,SAMN02472162,2021-04-21,GCA_000280865.2,full,Streptomyces,Streptomyces auratus AGR0001 (high GC Gram+),GCF_000280865.2,Representative Genome,yes,major,auratus,AGR0001,"Yunnan Institution of Microbiology, Yunnan University",1160718
GCF_000280905.1,PRJNA169173,ASM28090v1,Contig,na,SAMN02470041,2012-07-23,GCA_000280905.1,full,Streptomyces,Streptomyces sp. AA1529 (high GC Gram+),GCF_000280905.1,,yes,major,sp.,AA1529,"Institute of Plant Physiology and Ecology, Shanghai Institutes for Biological Sciences, Chinese Academy of Sciences",1203257
GCF_000297155.3,PRJNA76771,ASM29715v3,Complete Genome,na,SAMN02470052,2020-08-27,GCA_000297155.3,full,Streptomyces,Streptomyces tsukubensis NRRL18488 (high GC Gram+),GCF_000297155.3,,yes,major,tsukubensis,NRRL18488,INBIOTEC,1114943
GCF_000297635.1,PRJNA170575,ASM29763v1,Contig,na,SAMN02470042,2012-09-17,GCA_000297635.1,full,Streptomyces,Streptomyces sp. AA0539 (high GC Gram+),GCF_000297635.1,,yes,major,sp.,AA0539,"Institute of Plant Physiology and Ecology, Shanghai Institutes for Biological Sciences, Chinese Academy of Sciences",1210045
GCF_000299175.2,PRJNA167560,ASM29917v2,Scaffold,na,SAMN02471466,2017-12-05,GCA_000299175.2,full,Streptomyces,Streptomyces sp. SM8 (high GC Gram+),GCF_000299175.2,,yes,major,sp.,SM8,"Environmental Research Institute, University College Cork, Ireland",1195457
GCF_000302615.1,PRJNA159633,ASM30261v1,Scaffold,na,SAMN02469976,2012-10-03,GCA_000302615.1,full,Streptomyces,Streptomyces sp. SS (high GC Gram+),GCF_000302615.1,,yes,major,sp.,SS,"Institute of Medicinal Biotechnology, Chinese Academy of Medical Sciences and Peking Union Medical College",260742
GCF_000316095.1,PRJNA63193,ASM31609v1,Scaffold,na,SAMN02261266,2012-12-03,GCA_000316095.1,full,Streptomyces,Streptomyces viridosporus T7A (high GC Gram+),GCF_000316095.1,,yes,major,viridosporus,T7A,JGI,665577
GCF_000317595.1,PRJNA42363,Sipom9103v1.0,Contig,na,SAMN02436560,2012-12-06,GCA_000317595.1,full,Streptomyces,Streptomyces ipomoeae 91-03 (high GC Gram+),GCF_000317595.1,,yes,major,ipomoeae,91-03,J. Craig Venter Institute,698759
GCF_000331005.1,PRJNA42361,Sturgcar8v1.0,Contig,na,SAMN02436476,2013-01-03,GCA_000331005.1,full,Streptomyces,Streptomyces turgidiscabies Car8 (high GC Gram+),GCF_000331005.1,,yes,major,turgidiscabies,Car8,JCVI,698760
GCF_000331185.2,PRJNA182749,ASM33118v2,Complete Genome,na,SAMN02471950,2021-03-19,GCA_000331185.2,full,Streptomyces,Streptomyces rimosus subsp. rimosus ATCC 10970 (high GC Gram+),GCF_000331185.2,Representative Genome,yes,major,rimosus,ATCC 10970,University of Strathclyde,1265868
GCF_000332625.1,PRJNA89157,STVIR_1.0,Contig,na,SAMN00811239,2013-01-22,GCA_000332625.1,full,Streptomyces,Streptomyces viridochromogenes Tue57 (high GC Gram+),GCF_000332625.1,,yes,major,viridochromogenes,Tue57,University of Freiburg,1160705
GCF_000340335.1,PRJNA176092,ASM34033v2,Scaffold,na,SAMN02471210,2013-03-01,GCA_000340335.2,full,Streptomyces,Streptomyces bottropensis ATCC 25435 (high GC Gram+),GCF_000340335.1,,yes,major,bottropensis,ATCC 25435,"Tianjin Institute of Industrial Biotechnology, Chinese Academy of Sciences",1054862
GCF_000340845.1,PRJNA169410,ASM34084v1,Complete Genome,na,SAMN02603881,2013-02-19,GCA_000340845.1,full,Streptomyces,Streptomyces hygroscopicus subsp. jinggangensis TL01 (high GC Gram+),GCF_000340845.1,,yes,major,hygroscopicus,TL01,"State Key Laboratory of Microbial Metabolism, Shanghai Jiaotong University",1203460
GCF_000342125.1,PRJNA188290,S.mobaraensisn 1.0,Contig,na,SAMN02470112,2013-02-27,GCA_000342125.1,full,Streptomyces,Streptomyces mobaraensis NBRC 13819 = DSM 40847 (high GC Gram+),GCF_000342125.1,,yes,major,mobaraensis,DSM 40847,Jiangxi Normal University,1223523
GCF_000342345.1,PRJNA186841,Whole genome assembly,Contig,na,SAMN02469981,2013-02-28,GCA_000342345.1,full,Streptomyces,Streptomyces gancidicus BKS 13-15 (high GC Gram+),GCF_000342345.1,,yes,major,gancidicus,BKS 13-15,"Institute of Microbial Technology (IMTECH), Chandigarh, India 160036",1284664
GCF_000349325.1,PRJEB184,ASM34932v1,Chromosome,na,SAMEA2272568,2012-10-09,GCA_000349325.1,full,Streptomyces,Streptomyces davaonensis JCM 4913 (high GC Gram+),GCF_000349325.1,Representative Genome,yes,major,davaonensis,JCM 4913,CeBiTec,1214101
GCF_000359525.1,PRJNA180996,ASM35952v1,Complete Genome,na,SAMN02603310,2013-04-09,GCA_000359525.1,full,Streptomyces,Streptomyces albidoflavus (high GC Gram+),GCF_000359525.1,Representative Genome,yes,major,albidoflavus,J1074,HIPS/LNU,1886
GCF_000364805.1,PRJNA182709,ASM36480v1,Complete Genome,na,SAMN01821993,2013-04-15,GCA_000364805.1,full,Streptomyces,Streptomyces sp. PAMC 26508 (high GC Gram+),GCF_000364805.1,,yes,major,sp.,PAMC 26508,Korea Polar Research Institute,1265601
GCF_000367365.1,PRJDB1071,ASM36736v1,Contig,na,SAMD00041815,2013-04-12,GCA_000367365.1,full,Streptomyces,Streptomyces prunicolor NBRC 13075 (high GC Gram+),GCF_000367365.1,Representative Genome,yes,major,prunicolor,NBRC 13075,National Institute of Technology and Evaluation,1312234
GCF_000372745.1,PRJNA165453,ASM37274v1,Scaffold,na,SAMN02256465,2013-04-23,GCA_000372745.1,full,Embleya,Embleya scabrispora DSM 41855 (high GC Gram+),GCF_000372745.1,Representative Genome,yes,major,scabrispora,DSM 41855,DOE Joint Genome Institute,1123320
GCF_000373225.1,PRJNA169720,ASM37322v1,Scaffold,na,SAMN02441710,2013-04-23,GCA_000373225.1,full,Streptomyces,Streptomyces sp. LaPpAH-202 (high GC Gram+),GCF_000373225.1,,yes,major,sp.,LaPpAH-202,DOE Joint Genome Institute,1155716
GCF_000373305.1,PRJNA169725,ASM37330v1,Scaffold,na,SAMN02441713,2013-04-23,GCA_000373305.1,full,Streptomyces,Streptomyces sp. CcalMP-8W (high GC Gram+),GCF_000373305.1,,yes,major,sp.,CcalMP-8W,DOE Joint Genome Institute,1155715
GCF_000373405.1,PRJNA169733,ASM37340v1,Scaffold,na,SAMN02441715,2013-04-23,GCA_000373405.1,full,Streptomyces,Streptomyces sp. ScaeMP-e10 (high GC Gram+),GCF_000373405.1,,yes,major,sp.,ScaeMP-e10,DOE Joint Genome Institute,1156841
GCF_000373525.1,PRJNA169742,ASM37352v1,Scaffold,na,SAMN02440428,2013-04-23,GCA_000373525.1,full,Streptomyces,Streptomyces sp. LaPpAH-165 (high GC Gram+),GCF_000373525.1,,yes,major,sp.,LaPpAH-165,DOE Joint Genome Institute,1156843
GCF_000373565.1,PRJNA169744,ASM37356v1,Scaffold,na,SAMN02440430,2013-04-23,GCA_000373565.1,full,Streptomyces,Streptomyces sp. HmicA12 (high GC Gram+),GCF_000373565.1,,yes,major,sp.,HmicA12,DOE Joint Genome Institute,1156844
GCF_000373585.1,PRJNA169745,ASM37358v1,Scaffold,na,SAMN02440431,2013-04-23,GCA_000373585.1,full,Streptomyces,Streptomyces sp. MspMP-M5 (high GC Gram+),GCF_000373585.1,,yes,major,sp.,MspMP-M5,DOE Joint Genome Institute,1155718
GCF_000373625.1,PRJNA169751,ASM37362v1,Scaffold,na,SAMN02441702,2013-04-23,GCA_000373625.1,full,Streptomyces,Streptomyces sp. LaPpAH-108 (high GC Gram+),GCF_000373625.1,,yes,major,sp.,LaPpAH-108,DOE Joint Genome Institute,1155714
GCF_000373645.1,PRJNA169754,ASM37364v1,Scaffold,na,SAMN02441037,2013-04-23,GCA_000373645.1,full,Streptomyces,Streptomyces sp. ATexAB-D23 (high GC Gram+),GCF_000373645.1,,yes,major,sp.,ATexAB-D23,DOE Joint Genome Institute,1157635
GCF_000373665.1,PRJNA169757,ASM37366v1,Scaffold,na,SAMN02441703,2013-04-23,GCA_000373665.1,full,Streptomyces,Streptomyces sp. BoleA5 (high GC Gram+),GCF_000373665.1,,yes,major,sp.,BoleA5,DOE Joint Genome Institute,1157637
GCF_000373685.1,PRJNA169758,ASM37368v1,Scaffold,na,SAMN02441038,2013-04-23,GCA_000373685.1,full,Streptomyces,Streptomyces sp. PsTaAH-124 (high GC Gram+),GCF_000373685.1,,yes,major,sp.,PsTaAH-124,DOE Joint Genome Institute,1157638
GCF_000375625.1,PRJNA169746,ASM37562v1,Contig,na,SAMN02440408,2013-04-20,GCA_000375625.1,full,Streptomyces,Streptomyces sp. FxanaC1 (high GC Gram+),GCF_000375625.1,,yes,major,sp.,FxanaC1,DOE Joint Genome Institute,1157640
GCF_000375725.1,PRJNA169759,ASM37572v1,Contig,na,SAMN02441060,2013-04-20,GCA_000375725.1,full,Streptomyces,Streptomyces sp. LaPpAH-95 (high GC Gram+),GCF_000375725.1,,yes,major,sp.,LaPpAH-95,DOE Joint Genome Institute,1157632
GCF_000376565.1,PRJDB1072,ASM37656v1,Contig,na,SAMD00041833,2013-04-12,GCA_000376565.1,full,Streptomyces,Streptomyces hokutonensis (high GC Gram+),GCF_000376565.1,Representative Genome,yes,major,hokutonensis,R1-NS-10,National Institute of Technology and Evaluation,1306990
GCF_000380165.1,PRJNA165457,ASM38016v1,Scaffold,na,SAMN02256407,2013-04-23,GCA_000380165.1,full,Streptomyces,Streptomyces vitaminophilus DSM 41686 (high GC Gram+),GCF_000380165.1,Representative Genome,yes,major,vitaminophilus,DSM 41686,DOE Joint Genome Institute,1123322
GCF_000381025.1,PRJNA182442,ASM38102v1,Scaffold,na,SAMN02440478,2013-04-24,GCA_000381025.1,full,Streptomyces,Streptomyces sulphureus DSM 40104 (high GC Gram+),GCF_000381025.1,Representative Genome,yes,major,sulphureus,DSM 40104,DOE Joint Genome Institute,1123321
GCF_000382745.1,PRJNA169752,ASM38274v1,Contig,na,SAMN02441645,2013-04-25,GCA_000382745.1,full,Streptomyces,Streptomyces sp. DvalAA-83 (high GC Gram+),GCF_000382745.1,,yes,major,sp.,DvalAA-83,DOE Joint Genome Institute,1155717
GCF_000383595.1,PRJNA104983,ASM38359v1,Scaffold,na,SAMN02261243,2013-04-26,GCA_000383595.1,full,Streptomyces,Streptomyces bottropensis ATCC 25435 (high GC Gram+),GCF_000383595.1,Representative Genome,yes,major,bottropensis,ATCC 25435,JGI,1054862
GCF_000383615.1,PRJNA187948,ASM38361v1,Scaffold,na,SAMN02440519,2013-04-26,GCA_000383615.1,full,Streptomyces,Streptomyces canus 299MFChir4.1 (high GC Gram+),GCF_000383615.1,,yes,major,canus,299MFChir4.1,DOE Joint Genome Institute,1172183
GCF_000383635.1,PRJNA187949,ASM38363v1,Scaffold,na,SAMN02441630,2013-04-26,GCA_000383635.1,full,Streptomyces,Streptomyces sp. 303MFCol5.2 (high GC Gram+),GCF_000383635.1,,yes,major,sp.,303MFCol5.2,DOE Joint Genome Institute,1172181
GCF_000383655.1,PRJNA187950,ASM38365v1,Scaffold,na,SAMN02441631,2013-04-26,GCA_000383655.1,full,Streptomyces,Streptomyces sp. 351MFTsu5.1 (high GC Gram+),GCF_000383655.1,,yes,major,sp.,351MFTsu5.1,DOE Joint Genome Institute,1172180
GCF_000383935.1,PRJNA169737,ASM38393v1,Scaffold,na,SAMN02441313,2013-04-26,GCA_000383935.1,full,Streptomyces,Streptomyces sp. Amel2xE9 (high GC Gram+),GCF_000383935.1,,yes,major,sp.,Amel2xE9,DOE Joint Genome Institute,1157634
GCF_000384175.1,PRJNA157921,ASM38417v1,Scaffold,na,SAMN02261248,2013-04-26,GCA_000384175.1,full,Streptomyces,Streptomyces purpureus KA281 (high GC Gram+),GCF_000384175.1,Representative Genome,yes,major,purpureus,KA281,JGI,1054860
GCF_000385945.1,PRJNA192408,ASM38594v1,Complete Genome,na,SAMN02603305,2013-05-01,GCA_000385945.1,full,Streptomyces,Streptomyces fulvissimus DSM 40593 (high GC Gram+),GCF_000385945.1,,yes,major,fulvissimus,DSM 40593,"Helmholtz Institute for Pharmaceutical Research Saarland, Helmholtz Centre for Infection Research",1303692
GCF_000403665.1,PRJNA168962,Streptomyces lividans 1326,Chromosome,na,SAMN02469606,2013-06-04,GCA_000403665.1,full,Streptomyces,Streptomyces lividans 1326 (high GC Gram+),GCF_000403665.1,,yes,major,lividans,1326,CINVESTAV,1200984
GCF_000403765.2,PRJNA196135,SAlb2,Contig,na,SAMN02471960,2013-08-02,GCA_000403765.2,full,Streptomyces,Streptomyces albulus CCRC 11814 (high GC Gram+),GCF_000403765.2,,yes,major,albulus,CCRC 11814,University of the Witwatersrand,1316445
GCF_000404005.1,PRJNA189794,Streptomyces sp. FXJ7.023,Contig,na,SAMN02470037,2013-05-31,GCA_000404005.1,full,Streptomyces,Streptomyces sp. FXJ7.023 (high GC Gram+),GCF_000404005.1,,yes,major,sp.,FXJ7.023,"state Key Laboratory of Microbial Resources, Institute of Microbiology, Chinese Academy of Sciences",579932
GCF_000411315.1,PRJNA72491,Stre_sp_HGB0020_V1,Scaffold,na,SAMN02596734,2013-06-14,GCA_000411315.1,full,Streptomyces,Streptomyces sp. HGB0020 (high GC Gram+),GCF_000411315.1,,yes,major,sp.,HGB0020,Broad Institute,1078086
GCF_000411495.1,PRJNA169487,Stre_sp_HPH0547_V1,Scaffold,na,SAMN02596979,2013-06-14,GCA_000411495.1,full,Streptomyces,Streptomyces sp. HPH0547 (high GC Gram+),GCF_000411495.1,,yes,major,sp.,HPH0547,Broad Institute,1203592
GCF_000412265.2,PRJNA207881,ASM41226v2,Complete Genome,na,SAMN02471086,2015-06-09,GCA_000412265.2,full,Streptomyces,Streptomyces sp. Mg1 (high GC Gram+),GCF_000412265.2,,yes,major,sp.,Mg1,Texas A&M University,465541
GCF_000414115.1,PRJNA186840,STRAU,Contig,na,SAMN01893928,2013-06-24,GCA_000414115.1,full,Streptomyces,Streptomyces aurantiacus JA 4570 (high GC Gram+),GCF_000414115.1,,yes,major,aurantiacus,JA 4570,University of Freiburg,1286094
GCF_000415505.1,PRJNA186688,STAFG,Scaffold,na,SAMN01893930,2013-06-27,GCA_000415505.1,full,Streptomyces,Streptomyces afghaniensis 772 (high G+C Gram-positive bacteria),GCF_000415505.1,,yes,major,afghaniensis,772,University of Freiburg,1283301
GCF_000418455.1,PRJNA207502,ASM41845v1,Chromosome,na,SAMN02604192,2013-07-08,GCA_000418455.1,full,Streptomyces,Streptomyces rapamycinicus NRRL 5491 (high GC Gram+),GCF_000418455.1,,yes,major,rapamycinicus,NRRL 5491,University of Kaiserslautern,1343740
